name,county
דור ,חדרה 
דורות ,אשקלון 
"דוב""ב ",צפת 
אפרת ,בית לחם 
עיילבון ,כנרת 
עין אל-אסד ,עכו 
עין חוד ,חדרה 
עין מאהל ,נצרת 
עין נקובא ,ירושלים 
עין קנייא ,גולן 
עין ראפה ,ירושלים 
אלעד ,פתח תקווה 
אלעזר ,בית לחם 
אל-רום ,גולן 
אילת ,באר שבע 
עלי ,שכם 
אלי-עד ,גולן 
אליאב ,אשקלון 
אליפז ,באר שבע 
אליפלט ,צפת 
אלישמע ,פתח תקווה 
אילון ,עכו 
אלון מורה ,שכם 
אילות ,באר שבע 
אלקנה ,טול כרם 
אלקוש ,עכו 
אליכין ,השרון 
אליקים ,עפולה 
אלישיב ,השרון 
אמונים ,אשקלון 
עין איילה ,חדרה 
עין דור ,עפולה 
עין גדי ,באר שבע 
עין גב ,כנרת 
עין הבשור ,באר שבע 
עין העמק ,עפולה 
עין החורש ,השרון 
עין המפרץ ,עכו 
"עין הנצי""ב ",עפולה 
עין חרוד (איחוד) ,עפולה 
עין חרוד (מאוחד) ,עפולה 
עין השלושה ,באר שבע 
עין השופט ,עפולה 
עין חצבה ,באר שבע 
עין הוד ,חדרה 
עין עירון ,חדרה 
"עין כרם-בי""ס חקלאי ",ירושלים 
עין כרמל ,חדרה 
עין שריד ,השרון 
עין שמר ,חדרה 
עין תמר ,באר שבע 
עין ורד ,השרון 
עין יעקב ,עכו 
עין יהב ,באר שבע 
עין זיוון ,גולן 
עין צורים ,אשקלון 
עינת ,פתח תקווה 
ענב ,טול כרם 
ארז ,אשקלון 
אשבול ,באר שבע 
אשל הנשיא ,באר שבע 
אשחר ,עכו 
אשכולות ,חברון 
אשתאול ,ירושלים 
איתן ,אשקלון 
איתנים ,ירושלים 
אתגר ,עכו 
אבן מנחם ,עכו 
אבן ספיר ,ירושלים 
אבן שמואל ,אשקלון 
אבן יהודה ,השרון 
גלעד (אבן יצחק) ,עפולה 
עברון ,עכו 
אייל ,פתח תקווה 
עץ אפרים ,טול כרם 
עזר ,אשקלון 
עזוז ,באר שבע 
פסוטה ,עכו 
פוריידיס ,חדרה 
געש ,השרון 
געתון ,עכו 
גדיש ,עפולה 
גדות ,צפת 
גלאון ,אשקלון 
גן הדרום ,רחובות 
גן השומרון ,חדרה 
גן חיים ,פתח תקווה 
גן נר ,עפולה 
גן שלמה ,רחובות 
גן שמואל ,חדרה 
גן שורק ,רחובות 
גן יבנה ,רחובות 
גן יאשיה ,השרון 
גני עם ,פתח תקווה 
גני הדר ,רמלה 
גני מודיעין ,ראמאללה 
גני טל ,רחובות 
גני תקווה ,פתח תקווה 
גני יוחנן ,רחובות 
גנות ,רמלה 
גנות הדר ,השרון 
גת רימון ,פתח תקווה 
גת (קיבוץ) ,אשקלון 
גזית ,עפולה 
גיאה ,אשקלון 
גאליה ,רחובות 
גאולי תימן ,השרון 
גאולים ,השרון 
גדרה ,רחובות 
גפן ,ירושלים 
גליל ים ,תל אביב 
גרופית ,באר שבע 
גשר ,כנרת 
גשר הזיו ,עכו 
גשור ,גולן 
גבע ,עפולה 
גבע כרמל ,חדרה 
גבע בנימין ,ראמאללה 
גבעות בר ,באר שבע 
גברעם ,אשקלון 
גבת ,עפולה 
גבים ,אשקלון 
גבולות ,באר שבע 
גזר ,רמלה 
ע'ג'ר ,גולן 
גיבתון ,רחובות 
גדעונה ,עפולה 
גילת ,באר שבע 
גלגל ,ירדן )יריחו( 
גילון ,עכו 
גמזו ,רמלה 
גינתון ,רמלה 
גיניגר ,עפולה 
גינוסר ,כנרת 
גיתה ,עכו 
גיתית ,ירדן )יריחו( 
גבעת אבני ,כנרת 
גבעת ברנר ,רחובות 
גבעת אלה ,עפולה 
גבעת השלושה ,פתח תקווה 
גבעת חיים (איחוד) ,השרון 
גבעת חיים (מאוחד) ,השרון 
"גבעת ח""ן ",פתח תקווה 
"גבעת כ""ח ",פתח תקווה 
"גבעת ניל""י ",חדרה 
גבעת עוז ,עפולה 
גבעת שפירא ,השרון 
גבעת שמש ,ירושלים 
גבעת שמואל ,פתח תקווה 
גבעת יערים ,ירושלים 
גבעת ישעיהו ,ירושלים 
גבעת יואב ,גולן 
גבעת זאב ,ראמאללה 
גבעתיים ,רמת גן 
גבעתי ,אשקלון 
גבעולים ,באר שבע 
גבעון החדשה ,ראמאללה 
גיזו ,ירושלים 
גונן ,צפת 
גורן ,עכו 
גורנות הגליל ,עכו 
הבונים ,חדרה 
חד-נס ,גולן 
הדר עם ,השרון 
חדרה ,חדרה 
חדיד ,רמלה 
חפץ חיים ,רחובות 
חגי ,חברון 
חגור ,פתח תקווה 
הגושרים ,צפת 
החותרים ,חדרה 
חיפה ,חיפה 
חלוץ ,עכו 
המעפיל ,השרון 
חמדיה ,עפולה 
חמאם ,כנרת 
חמרה ,ירדן )יריחו( 
חניתה ,עכו 
חנתון ,עפולה 
חניאל ,השרון 
העוגן ,השרון 
האון ,כנרת 
הר אדר ,ראמאללה 
הר עמשא ,באר שבע 
הר גילה ,בית לחם 
הראל ,ירושלים 
הררית ,עכו 
חרשים ,עכו 
הרדוף ,עפולה 
חריש ,חדרה 
חרוצים ,השרון 
חשמונאים ,ראמאללה 
הסוללים ,עפולה 
חספין ,גולן 
חבצלת השרון ,השרון 
הוואשלה (שבט) ,באר שבע 
היוגב ,עפולה 
חצב ,אשקלון 
חצרים ,באר שבע 
חצבה ,באר שבע 
חזון ,כנרת 
חצור הגלילית ,צפת 
חצור-אשדוד ,אשקלון 
הזורעים ,כנרת 
הזורע ,עפולה 
חפצי-בה ,עפולה 
חלץ ,אשקלון 
חמד ,רמלה 
חרב לאת ,השרון 
חרמש ,ג'נין 
חירות ,השרון 
הרצליה ,תל אביב 
חבר ,עפולה 
חיבת ציון ,השרון 
הילה ,עכו 
חיננית ,ג'נין 
הוד השרון ,פתח תקווה 
הודיות ,כנרת 
הודיה ,אשקלון 
חופית ,השרון 
חגלה ,השרון 
חולית ,באר שבע 
חולון ,חולון 
חורשים ,פתח תקווה 
חוסן ,עכו 
הושעיה ,עפולה 
חוג'ייראת (ד'הרה) ,עכו 
חולתה ,צפת 
חולדה ,רמלה 
חוקוק ,כנרת 
חורה ,באר שבע 
חורפיש ,עכו 
חוסנייה ,עכו 
הוזייל (שבט) ,באר שבע 
אעבלין ,עכו 
איבים ,אשקלון 
אבטין ,חיפה 
עידן ,באר שבע 
אכסאל ,עפולה 
אילניה ,כנרת 
עילוט ,נצרת 
עמנואל ,טול כרם 
עיר אובות ,באר שבע 
אירוס ,רחובות 
עספיא ,חיפה 
איתמר ,שכם 
ג'ת ,חדרה 
ג'לג'וליה ,פתח תקווה 
ירושלים ,ירושלים 
ג'ש (גוש חלב) ,צפת 
ג'סר א-זרקא ,חדרה 
ג'דיידה-מכר ,עכו 
ג'ולס ,עכו 
ג'נאביב (שבט) ,באר שבע 
כעביה-טבאש-חג'אג'רה ,נצרת 
כברי ,עכו 
כאבול ,עכו 
כדיתה ,צפת 
כדורי ,כנרת 
כפר ברא ,פתח תקווה 
כפר כמא ,כנרת 
כפר כנא ,נצרת 
כפר מנדא ,עכו 
כפר מצר ,נצרת 
כפר קרע ,חדרה 
כפר קאסם ,פתח תקווה 
כפר יאסיף ,עכו 
כחל ,צפת 
כלנית ,כנרת 
כמון ,עכו 
כנף ,גולן 
כנות ,אשקלון 
כאוכב אבו אל-היג'א ,עכו 
כרי דשא ,כנרת 
כרכום ,כנרת 
כרמי קטיף ,אשקלון 
כרמי יוסף ,רמלה 
כרמי צור ,חברון 
כרמל ,חברון 
כרמיאל ,עכו 
כרמיה ,אשקלון 
כפר אדומים ,ראמאללה 
כפר אחים ,אשקלון 
כפר אביב ,רחובות 
כפר עבודה ,השרון 
כפר עזה ,אשקלון 
כפר ברוך ,עפולה 
כפר ביאליק ,חיפה 
"כפר ביל""ו ",רחובות 
כפר בן נון ,רמלה 
כפר בלום ,צפת 
כפר דניאל ,רמלה 
כפר עציון ,בית לחם 
כפר גלים ,חיפה 
כפר גדעון ,עפולה 
כפר גלעדי ,צפת 
כפר גליקסון ,חדרה 
"כפר חב""ד ",רמלה 
כפר החורש ,עפולה 
כפר המכבי ,חיפה 
כפר הנגיד ,רחובות 
כפר חנניה ,צפת 
כפר הנשיא ,צפת 
כפר הנוער הדתי ,חיפה 
כפר האורנים ,ראמאללה 
"כפר הרי""ף ",אשקלון 
"כפר הרא""ה ",השרון 
כפר חרוב ,גולן 
כפר חסידים א' ,חיפה 
כפר חסידים ב' ,חיפה 
כפר חיים ,השרון 
כפר הס ,השרון 
כפר חיטים ,כנרת 
כפר חושן ,צפת 
כפר קיש ,כנרת 
"כפר מל""ל ",פתח תקווה 
כפר מסריק ,עכו 
כפר מימון ,באר שבע 
כפר מנחם ,אשקלון 
כפר מונש ,השרון 
כפר מרדכי ,רחובות 
כפר נטר ,השרון 
כפר פינס ,חדרה 
כפר ראש הנקרה ,עכו 
כפר רוזנואלד (זרעית) ,עכו 
כפר רופין ,עפולה 
כפר רות ,רמלה 
כפר סבא ,פתח תקווה 
כפר שמאי ,צפת 
כפר שמריהו ,תל אביב 
כפר שמואל ,רמלה 
כפר סילבר ,אשקלון 
כפר סירקין ,פתח תקווה 
כפר סאלד ,צפת 
כפר תפוח ,טול כרם 
כפר תבור ,כנרת 
כפר טרומן ,רמלה 
כפר אוריה ,ירושלים 
כפר ויתקין ,השרון 
כפר ורבורג ,אשקלון 
כפר ורדים ,עכו 
כפר יעבץ ,השרון 
כפר יחזקאל ,עפולה 
כפר יהושע ,עפולה 
כפר יונה ,השרון 
כפר זיתים ,כנרת 
כפר זוהרים ,ירושלים 
כליל ,עכו 
כמהין ,באר שבע 
כרמים ,באר שבע 
כרם בן שמן ,רמלה 
כרם בן זמרה ,צפת 
"כרם מהר""ל ",חדרה 
כרם שלום ,באר שבע 
כרם יבנה (ישיבה) ,רחובות 
כסלון ,ירושלים 
ח'ואלד (שבט) ,נצרת 
ח'ואלד ,חיפה 
כנרת (מושבה) ,כנרת 
כנרת (קבוצה) ,כנרת 
כישור ,עכו 
כסרא-סמיע ,עכו 
כיסופים ,באר שבע 
כחלה ,באר שבע 
כוכב השחר ,ראמאללה 
כוכב מיכאל ,אשקלון 
כוכב יעקב ,ראמאללה 
כוכב יאיר ,פתח תקווה 
כורזים ,צפת 
כסיפה ,באר שבע 
להב ,באר שבע 
להבות הבשן ,צפת 
להבות חביבה ,חדרה 
לכיש ,אשקלון 
לפיד ,רמלה 
לפידות ,עכו 
לקיה ,באר שבע 
לביא ,כנרת 
לבון ,עכו 
להבים ,באר שבע 
שריגים (לי-און) ,ירושלים 
לימן ,עכו 
לבנים ,כנרת 
לוד ,רמלה 
לוחמי הגיטאות ,עכו 
לוטן ,באר שבע 
לוטם ,עכו 
לוזית ,ירושלים 
מעגן ,כנרת 
מעגן מיכאל ,חדרה 
מעלה אדומים ,בית לחם 
מעלה עמוס ,בית לחם 
מעלה אפרים ,ירדן )יריחו( 
מעלה גמלא ,גולן 
מעלה גלבוע ,עפולה 
מעלה החמישה ,ירושלים 
מעלה עירון ,חדרה 
מעלה לבונה ,ראמאללה 
מעלה מכמש ,ראמאללה 
מעלות-תרשיחא ,עכו 
מענית ,חדרה 
מעש ,פתח תקווה 
מעברות ,השרון 
מעגלים ,באר שבע 
מעון ,חברון 
מאור ,חדרה 
מעוז חיים ,עפולה 
מעין ברוך ,צפת 
מעין צבי ,חדרה 
מבועים ,באר שבע 
מגן ,באר שבע 
מגן שאול ,עפולה 
מגל ,חדרה 
מגשימים ,פתח תקווה 
מחניים ,צפת 
צוקים ,באר שבע 
מחנה הילה ,רחובות 
מחנה מרים ,אשקלון 
מחנה טלי ,באר שבע 
מחנה תל נוף ,רחובות 
מחנה יפה ,באר שבע 
מחנה יתיר ,באר שבע 
מחנה יהודית ,עפולה 
מחנה יוכבד ,באר שבע 
מחסיה ,ירושלים 
מג'ד אל-כרום ,עכו 
מג'דל שמס ,גולן 
מכחול ,באר שבע 
מלכישוע ,עפולה 
מלכיה ,צפת 
מנוף ,עכו 
מנות ,עכו 
מנשית זבדה ,נצרת 
מרגליות ,צפת 
מסעדה ,גולן 
מסעודין אל-עזאזמה ,באר שבע 
משאבי שדה ,באר שבע 
משען ,אשקלון 
משכיות ,ירדן )יריחו( 
מסלול ,באר שבע 
מסד ,כנרת 
מסדה ,כנרת 
משואה ,ירדן )יריחו( 
משואות יצחק ,אשקלון 
מטע ,ירושלים 
מתן ,פתח תקווה 
מתת ,עכו 
מתתיהו ,ראמאללה 
מבקיעים ,אשקלון 
מזכרת בתיה ,רחובות 
מצליח ,רמלה 
מזור ,פתח תקווה 
מזרעה ,עכו 
מצובה ,עכו 
מי עמי ,חדרה 
מאיר שפיה ,חדרה 
מעונה ,עכו 
מפלסים ,אשקלון 
מגדים ,חדרה 
מגידו ,עפולה 
מחולה ,ירדן )יריחו( 
מייסר ,חדרה 
מכורה ,ירדן )יריחו( 
מלאה ,עפולה 
מלילות ,באר שבע 
מנחמיה ,כנרת 
מנרה ,צפת 
מנוחה ,אשקלון 
מירב ,עפולה 
מרחב עם ,באר שבע 
מרחביה (מושב) ,עפולה 
מרחביה (קיבוץ) ,עפולה 
מרכז שפירא ,אשקלון 
מרום גולן ,גולן 
מירון ,צפת 
מישר ,רחובות 
משהד ,נצרת 
מסילת ציון ,ירושלים 
מסילות ,עפולה 
מיתר ,באר שבע 
מיטב ,עפולה 
מטולה ,צפת 
מבשרת ציון ,ירושלים 
מבוא ביתר ,ירושלים 
מבוא דותן ,ג'נין 
מבוא חמה ,גולן 
מבוא חורון ,ראמאללה 
מבוא מודיעים ,רמלה 
מבואות ים ,השרון 
מבואות יריחו ,ירדן )יריחו( 
מצדות יהודה ,חברון 
מיצר ,גולן 
מצר ,חדרה 
מעיליא ,עכו 
מדרך עוז ,עפולה 
מדרשת בן גוריון ,באר שבע 
מדרשת רופין ,השרון 
מגדל ,כנרת 
מגדל העמק ,עפולה 
מגדל עוז ,בית לחם 
מגדלים ,שכם 
מכמנים ,עכו 
מכמורת ,השרון 
מקווה ישראל ,חולון 
משגב עם ,צפת 
משגב דב ,רחובות 
משמר איילון ,רמלה 
משמר דוד ,רמלה 
משמר העמק ,עפולה 
משמר הנגב ,באר שבע 
משמר השרון ,השרון 
משמר השבעה ,רמלה 
משמר הירדן ,צפת 
משמרות ,חדרה 
משמרת ,השרון 
מצפה אילן ,חדרה 
מבטחים ,באר שבע 
מצפה ,כנרת 
"מצפה אבי""ב ",עכו 
מצפה נטופה ,עפולה 
מצפה רמון ,באר שבע 
מצפה שלם ,ירדן )יריחו( 
מצפה יריחו ,ירדן )יריחו( 
מזרע ,עפולה 
מודיעין עילית ,ראמאללה 
מודיעין-מכבים-רעות ,רמלה 
מולדת ,עפולה 
מורן ,עכו 
מורשת ,עכו 
מוצא עילית ,ירושלים 
מגאר ,כנרת 
מוקייבלה ,עפולה 
נעלה ,ראמאללה 
נען ,רמלה 
נערן ,ירדן )יריחו( 
נאעורה ,עפולה 
"נעמ""ה ",ירדן )יריחו( 
אשבל ,עכו 
חמדת ,ירדן )יריחו( 
נחל עוז ,אשקלון 
שיטים ,באר שבע 
נחלה ,אשקלון 
נהלל ,עפולה 
נחליאל ,ראמאללה 
נחם ,ירושלים 
נהריה ,עכו 
נחף ,עכו 
נחשולים ,חדרה 
נחשון ,ירושלים 
נחשונים ,פתח תקווה 
נצאצרה (שבט) ,באר שבע 
נטף ,ירושלים 
נטור ,גולן 
נווה ,באר שבע 
נצרת ,נצרת 
נאות גולן ,גולן 
נאות הכיכר ,באר שבע 
נאות מרדכי ,צפת 
נעורים ,השרון 
נגבה ,אשקלון 
נגוהות ,חברון 
נחלים ,פתח תקווה 
נהורה ,אשקלון 
נחושה ,ירושלים 
ניין ,עפולה 
נס עמים ,עכו 
נס הרים ,ירושלים 
נס ציונה ,רחובות 
נשר ,חיפה 
נטע ,אשקלון 
נטעים ,רחובות 
נתניה ,השרון 
נתיב העשרה ,אשקלון 
נתיב הגדוד ,ירדן )יריחו( 
"נתיב הל""ה ",ירושלים 
נתיב השיירה ,עכו 
נתיבות ,באר שבע 
נטועה ,עכו 
נבטים ,באר שבע 
נוה צוף ,ראמאללה 
"נווה אטי""ב ",גולן 
נווה אבות ,חדרה 
נווה דניאל ,בית לחם 
נווה איתן ,עפולה 
נווה חריף ,באר שבע 
נווה אילן ,ירושלים 
נווה מיכאל ,ירושלים 
נווה מבטח ,אשקלון 
נווה שלום ,ירושלים 
נווה אור ,עפולה 
נווה ים ,חדרה 
נווה ימין ,פתח תקווה 
נווה ירק ,פתח תקווה 
נווה זיו ,עכו 
נווה זוהר ,באר שבע 
נצר חזני ,רחובות 
נצר סרני ,רמלה 
"ניל""י ",ראמאללה 
נמרוד ,גולן 
ניר עם ,אשקלון 
ניר עקיבא ,באר שבע 
ניר בנים ,אשקלון 
ניר דוד (תל עמל) ,עפולה 
ניר אליהו ,פתח תקווה 
ניר עציון ,חדרה 
ניר גלים ,רחובות 
"ניר ח""ן ",אשקלון 
ניר משה ,באר שבע 
ניר עוז ,באר שבע 
ניר יפה ,עפולה 
ניר ישראל ,אשקלון 
ניר יצחק ,באר שבע 
ניר צבי ,רמלה 
נירים ,באר שבע 
נירית ,פתח תקווה 
ניצן ,אשקלון 
ניצן ב' ,אשקלון 
ניצנה (קהילת חינוך) ,באר שבע 
ניצני עוז ,השרון 
ניצני סיני ,באר שבע 
ניצנים ,אשקלון 
נועם ,אשקלון 
נוף איילון ,רמלה 
נוף הגליל ,נצרת 
נופך ,פתח תקווה 
נופים ,טול כרם 
נופית ,חיפה 
נוגה ,אשקלון 
נוקדים ,בית לחם 
נורדיה ,השרון 
נוב ,גולן 
נורית ,עפולה 
אודם ,גולן 
אופקים ,באר שבע 
עופר ,חדרה 
עופרה ,ראמאללה 
אוהד ,באר שבע 
עולש ,השרון 
אומן ,עפולה 
עומר ,באר שבע 
אומץ ,השרון 
אור עקיבא ,חדרה 
אור הגנוז ,צפת 
אור הנר ,אשקלון 
אור יהודה ,רמת גן 
אורה ,ירושלים 
אורנים ,חיפה 
אורנית ,טול כרם 
אורות ,אשקלון 
אורטל ,גולן 
עתניאל ,חברון 
עוצם ,אשקלון 
"פעמי תש""ז ",באר שבע 
פלמחים ,רחובות 
פארן ,באר שבע 
פרדס חנה-כרכור ,חדרה 
פרדסיה ,השרון 
פרוד ,צפת 
פטיש ,באר שבע 
פדיה ,רמלה 
פדואל ,טול כרם 
פדויים ,באר שבע 
פלך ,עכו 
פני חבר ,חברון 
פקיעין (בוקייעה) ,עכו 
פקיעין חדשה ,עכו 
פרזון ,עפולה 
פרי גן ,באר שבע 
פסגות ,ראמאללה 
פתח תקווה ,פתח תקווה 
פתחיה ,רמלה 
פצאל ,ירדן )יריחו( 
פורת ,השרון 
פוריה עילית ,כנרת 
פוריה - כפר עבודה ,כנרת 
פוריה - נווה עובד ,כנרת 
קבועה (שבט) ,באר שבע 
קדרים ,כנרת 
קדימה-צורן ,השרון 
קלנסווה ,השרון 
קליה ,ירדן )יריחו( 
קרני שומרון ,טול כרם 
קוואעין (שבט) ,באר שבע 
קציר ,חדרה 
קצרין ,גולן 
קדר ,בית לחם 
קדמה ,אשקלון 
קדומים ,טול כרם 
קלע ,גולן 
קלחים ,באר שבע 
קיסריה ,חדרה 
קשת ,גולן 
קטורה ,באר שבע 
קבוצת יבנה ,רחובות 
קדמת צבי ,גולן 
קדרון ,רחובות 
קרית ענבים ,ירושלים 
קרית ארבע ,חברון 
קרית אתא ,חיפה 
קרית ביאליק ,חיפה 
קרית עקרון ,רחובות 
קרית גת ,אשקלון 
קרית מלאכי ,אשקלון 
קרית מוצקין ,חיפה 
קרית נטפים ,טול כרם 
קרית אונו ,רמת גן 
קרית שלמה ,השרון 
קרית שמונה ,צפת 
קרית טבעון ,חיפה 
קרית ים ,חיפה 
קרית יערים ,ירושלים 
קרית יערים(מוסד) ,ירושלים 
קוממיות ,אשקלון 
קורנית ,עכו 
קודייראת א-צאנע(שבט) ,באר שבע 
רעננה ,פתח תקווה 
רהט ,באר שבע 
רם-און ,עפולה 
רמת דוד ,עפולה 
רמת גן ,רמת גן 
רמת הכובש ,פתח תקווה 
רמת השרון ,תל אביב 
רמת השופט ,עפולה 
רמת מגשימים ,גולן 
רמת רחל ,ירושלים 
רמת רזיאל ,ירושלים 
רמת ישי ,עפולה 
רמת יוחנן ,חיפה 
רמת צבי ,עפולה 
ראמה ,עכו 
רמלה ,רמלה 
רמות ,גולן 
רמות השבים ,פתח תקווה 
רמות מאיר ,רמלה 
רמות מנשה ,עפולה 
רמות נפתלי ,צפת 
רנן ,באר שבע 
רקפת ,עכו 
ראס אל-עין ,עכו 
ראס עלי ,חיפה 
רביד ,כנרת 
רעים ,באר שבע 
רגבים ,חדרה 
רגבה ,עכו 
ריחן ,ג'נין 
רחלים ,שכם 
רחוב ,עפולה 
רחובות ,רחובות 
ריחאניה ,צפת 
